Character,Build,Weapon Name,Artifact Set
Baizhu,Support General,Jadefall's Splendor,Any HP% 2pc. SetAny HP% 2pc. Set
Baizhu,Support Dendro,Jadefall's Splendor,Deepwood Memories 4pc. Set
Barbara,Support,Thrilling Tales of Dragon Slayers,Maiden Beloved 4pc. Set
Barbara,Bloom Bot,A Thousand Floating Dreams,Flower of Paradise Lost 4pc. Set
Klee,Pyro DPS,Lost Prayer to the Sacred Winds,Crimson Witch of Flames 4pc. Set
Kokomi,Support Normal Attack,Everlasting Moonglow,Ocean-Hued Clam 4pc. Set
Kokomi,Support Buff,Thrilling Tales of Dragon Slayers,Tenacity of the Millelith 4pc. Set
Kokomi,Bloom Bot,A Thousand Floating Dreams,Flower of Paradise Lost 4pc. Set
Lisa,Electro DPS,Kagura's Verity,Gilded Dreams 4pc. Set
Lisa,Support,Hakushin Ring,Noblesse Oblige 4pc. Set
Mona,Hydro Sub DPS,Skyward Atlas,Emblem of Severed Fate 4pc. Set
Mona,Support,Thrilling Tales of Dragon Slayers,Noblesse Oblige 4pc. Set
Nahida,Support,A Thousand Floating Dreams,Deepwood Memories 4-Piece Set
Ningguang,Geo DPS,Lost Prayer to the Sacred Winds,Archaic Petra 2pc. SetAny ATK% 2pc. Set
Ningguang,Geo Sub-DPS,The Widsith,Archaic Petra 2pc. Set Noblesse Oblige 2pc. Set
Shikanoin Heizou,Anemo DPS,Lost Prayer to the Sacred Winds,Desert Pavilion Chronicle 4pc. Set
Sucrose,Support,Sacrificial Fragments,Viridescent Venerer 4-Piece Set
Wanderer,Anemo DPS,Tulaytullah's Remembrance,Desert Pavilion Chronicle 4pc. Set
Yae Miko,Electro DPS Aggravate,Kagura's Verity,Gilded Dreams 4pc. Set
Yae Miko,Electro DPS General,Kagura's Verity,Any ATK% 2pc. SetThundering Fury 2pc. Set
Yae Miko,Electro Sub-DPS,The Widsith,Thundering Fury 2pc. SetGladiator's Finale 2pc. Set
Yanfei,Pyro DPS,Lost Prayer to the Sacred Winds,Crimson Witch of Flames 4pc. Set
Yanfei,Support,Prototype Amber,Any HP% 2pc. SetAny HP% 2pc. Set
