Character,Build,Weapon,Artifact Set,
Beidou,Electro DPS,Beacon of the Reed Sea,Thundering Fury 2pc. SetAny ATK% 2pc. Set,
Beidou,Support,Wolf's Gravestone,Emblem of Severed Fate 4pc. Set,
Chongyun,Cryo DPS,Wolf's Gravestone,Any ATK% 2pc. SetBlizzard Strayer 2pc. Set,
Chongyun,Cryo Sub DPS,Skyward Pride,Beacon Of The Reed Sea,
Dehya,Pyro DPS,Beacon Of The Reed Sea,Vourukasha's Glow 4pc. Set,
Dehya,Support,The Bell,Tenacity of the Millelith 4pc. Set,
Diluc,Pyro DPS,Wolf's Gravestone,Crimson Witch of Flames 4pc. Set,
Dori,Support,Sacrificial Greatsword,Noblesse Oblige 4pc. Set,
Eula,Physical DPS,Song of Broken Pines,Pale Flame 4-Piece Set,
Itto,Geo DPS,Redhorn Stonethresher,Husk of Opulent Dreams 4pc. Set,
Kaveh,Bloom Bot,Rainslasher,Flower Of Paradise Lost 4pc. Set,
Kaveh,Dendro DPS,Mailed Flower,Deepwood Memories 4pc. Set,
Noelle,Geo DPS,Redhorn Stonethresher,Husk of Opulent Dreams 4pc. Set,
Noelle,Support,Whiteblind,Husk of Opulent Dreams 4pc. Set,
Razor,Physical DPS,Song of Broken Pines,Pale Flame 4pc. Set,
Sayu,Support,Wolf's Gravestone,Viridescent Venerer 4pc. Set,
Xinyan,Physical DPS,Song of Broken Pines,Any ATK% 2pc. Set Any Physical DMG Bonus 2pc. Set,
Xinyan,Support,Whiteblind,Husk of Opulent Dreams 4pc. Set,
